slide,topic,arabic,urdu,confidence
01,highlight,"﴿وَجَعَلَ اللهُ الْكَعْبَةَ الْبَيْتَ الْحَرَامَ﴾",,high
01,highlight,"﴿مُحَمَّدٌ رَسُولُ اللهِ﴾",,high
01,highlight,"﴿فَأَخَذَهُمُ الطُّوفَانُ وَهُمْ ظَالِمُونَ﴾",,high
01,highlight,"﴿إِنَّ الشِّرْكَ لَظُلْمٌ عَظِيمٌ﴾",,high
01,highlight,"﴿هٰذَا حَلَالٌ وَهٰذَا حَرَامٌ﴾",,high
01,highlight,"﴿وَالصُّلْحُ خَيْرٌ﴾",,high
01,highlight,"﴿بِيَدِكَ الْخَيْرُ﴾",,high
01,highlight,"﴿وَإِنَّهُ لِحُبِّ الْخَيْرِ لَشَدِيدٌ﴾",,high
01,highlight,"﴿وَأَنْزَلْنَا إِلَيْكَ الذِّكْرَ﴾",,med
02,highlight,"﴿إِنَّ اللهَ يَأْمُرُ بِالْعَدْلِ وَالْإِحْسَانِ﴾",,high
02,highlight,"﴿وَضُرِبَتْ عَلَيْهِمُ الذِّلَّةُ﴾",,high
02,highlight,"﴿وَلِلهِ الْمَشْرِقُ وَالْمَغْرِبُ﴾",,high
02,highlight,"﴿وَسَبِّحْ بِحَمْدِ رَبِّكَ قَبْلَ طُلُوعِ الشَّمْسِ﴾",,high
02,highlight,"﴿وَجَاهِدْهُمْ بِهِ جِهَادًا كَبِيرًا﴾",,high
02,highlight,"﴿وَيَكُونَ الرَّسُولُ عَلَيْكُمْ شَهِيدًا﴾",,high
02,highlight,"﴿أَنَّ اللهَ يَبْسُطُ الرِّزْقَ لِمَنْ يَشَاءُ﴾",,high
02,highlight,"﴿وَإِنْ كُنْتُمْ عَلَى سَفَرٍ وَلَمْ تَجِدُوا﴾",,high
02,highlight,"﴿وَالْعَمَلُ الصَّالِحُ يَرْفَعُهُ﴾",,high
03,highlight,"﴿وَالْفِتْنَةُ أَشَدُّ مِنَ الْقَتْلِ﴾",,high
03,highlight,"﴿وَخُلِقَ الْإِنْسَانُ ضَعِيفًا﴾",,high
03,highlight,"﴿الْقِبْلَةِ الَّتِي كُنْتَ عَلَيْهَا﴾",,high
03,highlight,"﴿إِنَّ الْمُتَّقِينَ فِي جَنَّاتٍ وَنَهَرٍ﴾",,high
03,highlight,"﴿وَيَعْلَمُ مَا فِي الْبَرِّ وَالْبَحْرِ﴾",,high
03,highlight,"﴿فَبِظُلْمٍ مِنَ الَّذِينَ هَادُوا﴾",,med
03,highlight,"﴿وَلَا يَرْضَى لِعِبَادِهِ الْكُفْرَ﴾",,high
03,highlight,"﴿وَإِنَّهُ لَقَسَمٌ لَوْ تَعْلَمُونَ عَظِيمٌ﴾",,high
03,highlight,"﴿الْوَصِيَّةُ لِلْوَالِدَيْنِ﴾",,med
04,highlight,"﴿يُعْجِبُكَ قَوْلُهُ فِي الْحَيَاةِ الدُّنْيَا﴾",,high
04,highlight,"﴿وَلَوْ كُنْتَ فَظًّا غَلِيظَ الْقَلْبِ﴾",,high
04,highlight,"﴿ن وَالْقَلَمِ وَمَا يَسْطُرُونَ﴾",,high
04,highlight,"﴿نَزَّلَ الْكِتَابَ بِالْحَقِّ﴾",,high
04,highlight,"﴿إِنَّمَا أَنْذَرَكُمْ بِالْوَحْيِ﴾",,high
04,highlight,"﴿وَيُعَلِّمُهُمُ الْكِتَابَ وَالْحِكْمَةَ﴾",,high
04,highlight,"﴿أَمْ عِنْدَهُمُ الْغَيْبُ﴾",,high
04,highlight,"﴿فِي الدُّنْيَا حَسَنَةً وَفِي الْآخِرَةِ حَسَنَةً﴾",,high
04,highlight,"﴿كُنْتُمْ تَمَنَّوْنَ الْمَوْتَ﴾",,high
04,highlight,"﴿مِنَ الظُّلُمَاتِ إِلَى النُّورِ﴾",,high
04,highlight,"﴿وَأَنَّ اللهَ شَدِيدُ الْعَذَابِ﴾",,high
04,highlight,"﴿وَأَلْقَيْتُ عَلَيْكَ مَحَبَّةً مِنِّي﴾",,high
05,highlight,"﴿وَلَا يُشْرِكْ بِعِبَادَةِ رَبِّهِ أَحَدًا﴾",,high
05,highlight,"﴿بَدَّلُوا نِعْمَةَ اللهِ كُفْرًا﴾",,high
05,highlight,"﴿ادْخُلُوا الْجَنَّةَ لَا خَوْفٌ عَلَيْكُمْ﴾",,high
05,highlight,"﴿لَهُمْ مَغْفِرَةٌ وَأَجْرٌ عَظِيمٌ﴾",,high
05,highlight,"﴿الطَّلَاقُ مَرَّتَانِ﴾",,high
05,highlight,"﴿وَجَعَلُوا بَيْنَهُ وَبَيْنَ الْجِنَّةِ نَسَبًا﴾",,high
05,highlight,"﴿وَجَنَّةٍ عَرْضُهَا كَعَرْضِ السَّمَاءِ وَالْأَرْضِ﴾",,high
05,highlight,"﴿فَاتِّبَاعٌ بِالْمَعْرُوفِ وَأَدَاءٌ إِلَيْهِ بِإِحْسَانٍ﴾",,high
05,highlight,"﴿وَاذْكُرُوا نِعْمَةَ اللهِ عَلَيْكُمْ﴾",,high
05,highlight,"﴿وَالْوَزْنُ يَوْمَئِذٍ الْحَقُّ﴾",,high
05,highlight,"﴿جَعَلْنَاكَ عَلَى شَرِيعَةٍ مِنَ الْأَمْرِ﴾",,high
05,highlight,"﴿يَظُنُّونَ بِاللهِ غَيْرَ الْحَقِّ ظَنَّ الْجَاهِلِيَّةِ﴾",,high
06,highlight,"﴿الْمَالُ وَالْبَنُونَ زِينَةُ الْحَيَاةِ الدُّنْيَا﴾",,high
06,highlight,"﴿فَإِنَّمَا عَلَيْكَ الْبَلَاغُ وَعَلَيْنَا الْحِسَابُ﴾",,high
